headline,sentiment_label,sentiment_score
"Trump orders ‘decisive, powerful’ attacks against Yemen’s Houthis - Al Jazeera English",POSITIVE,0.9983962178230286
FIA Formula 2 Melbourne Feature Race Cancelled - Formula 2,NEGATIVE,0.9971513152122498
"Trump invokes 18th century law to speed deportations, judge stalls it hours later - The Associated Press",NEGATIVE,0.8140575885772705
March Madness bracket: Latest NCAA Tournament predictions entering Selection Sunday - 247Sports,NEGATIVE,0.9322794079780579
Vikings acquiring RB Mason in trade with 49ers - ESPN,POSITIVE,0.9073714017868042
"Apple to replace the iPhone 17 Pro Max with a 17 Ultra, report claims - GSMArena.com news - GSMArena.com",NEGATIVE,0.9913285374641418
Liberal group calls for Schumer to step down as minority leader after spending bill vote - POLITICO,NEGATIVE,0.9876161217689514
Main Card Results | UFC Fight Night: Vettori vs Dolidze 2 - UFC,POSITIVE,0.9591946601867676
"‘Percy Jackson,’ Meryl Streep, Christian Slater Among 3rd Annual Children’s & Family Emmys Winners (UPDATING LIVE) - Variety",POSITIVE,0.9989376664161682
"One of three eaglets belonging to Big Bear bald eagles has died, says wildlife organization - CBS Los Angeles",NEGATIVE,0.9993225336074829
"Jenna Ortega Reflects On Early Acting Role In ‘Iron Man 3’ Where Her Lines Were Cut: “I Count That, Then I Move On” - Deadline",POSITIVE,0.9494215250015259
"Tornado outbreak live updates: 40 tornadoes, 31 dead in cross-country storm system - ABC News",NEGATIVE,0.8950162529945374
Gene Hackman's children not named in actor's $80m will - BBC.com,NEGATIVE,0.9978225231170654
Greenland: Hundreds protest against Trump's takeover plans - DW (English),NEGATIVE,0.9802532196044922
"Gov. Stitt visits own ranch, destroyed by wildfires - news9.com KWTV",NEGATIVE,0.9702020883560181
"Opinion | Trump and Rubio Used an Obscure Law to Attempt to Deport a Columbia Protester. In the Past, the Same Law Excluded Jews. - POLITICO",NEGATIVE,0.9963715076446533
